RiskAdjustedReturn,TransactionFrequency,TransactionFees,EstimatedAvgReturnPrivateAsset,EstimatedReturnPublicAsset,EstimatedAvgReturnCommodities,FuturePricesNaturalGas,SPVolatilityIndex,BloombergHedgeFundIndex,RealEstateIndex,SPPrivateEquityIndex,CreditScore,AccountType,RiskType,FinancialGoalUpdated,CustomerRevenueFall70,CustomerRevenueRecovery40,SentimentAnalysis,Churn
82,11,4,28,35,8,7,196,1563,2442,308,2,0,3,1,1,1,0,0
66,4,3,3,19,0,6,111,1045,3003,400,0,1,0,0,1,0,2,0
55,15,2,17,9,34,7,113,1908,2296,378,2,1,0,0,0,0,0,0
65,3,3,12,9,29,7,102,2255,2636,353,0,0,0,1,0,0,2,0
40,13,3,24,1,38,3,199,1908,1810,402,0,1,4,0,0,1,2,0
14,47,1,12,1,35,6,158,2495,1341,307,0,1,1,0,1,1,2,0
62,48,4,14,22,30,3,87,1167,1502,358,2,1,1,0,0,0,0,0
85,35,6,23,15,40,3,147,1613,3936,361,0,0,2,1,1,1,2,0
62,42,2,12,19,42,5,115,1063,1267,337,1,0,2,1,0,0,0,0
41,3,7,6,30,9,7,99,2435,3703,332,1,0,2,1,0,0,0,0
20,14,6,7,22,44,3,164,2289,2291,377,1,0,0,0,1,1,1,0
0,20,6,49,8,5,7,109,2124,2672,363,3,1,4,1,1,0,2,1
15,19,3,46,35,46,5,173,2032,2250,334,4,1,2,0,0,0,2,1
37,9,4,14,30,11,5,126,1046,1382,384,3,0,0,0,1,0,2,1
33,28,2,25,9,40,7,156,1087,1731,403,4,1,1,0,1,0,2,1
81,30,5,46,7,15,4,181,1801,1873,382,4,0,0,0,1,0,1,0
17,39,4,31,34,49,5,91,1765,2788,370,3,1,2,1,1,1,0,1
12,47,7,27,14,6,5,120,1754,3367,314,2,0,3,0,1,1,2,1
59,22,6,10,13,32,5,131,1555,1226,353,0,0,3,1,1,1,2,0
8,33,6,31,20,11,2,86,1783,3143,355,1,0,2,1,0,0,2,0
50,21,3,4,25,47,5,151,1131,1649,403,1,0,2,1,0,0,2,0
35,43,3,44,28,12,4,171,1359,2404,384,4,0,3,1,1,0,0,1
64,6,6,24,26,27,4,173,1500,2976,357,1,0,2,1,0,0,0,0
6,47,4,19,28,40,2,164,1833,1690,361,1,0,1,0,0,0,0,0
48,4,7,22,25,4,4,101,1112,2079,355,1,0,2,1,0,0,2,0
10,0,4,49,34,52,6,121,1503,1111,343,2,1,3,1,0,0,2,0
84,16,8,7,16,14,7,200,2073,1727,409,1,0,0,1,0,0,2,0
49,26,1,16,7,5,3,170,1904,3978,346,1,1,4,1,1,0,0,1
39,48,2,15,22,26,7,117,1239,1185,336,0,0,4,1,1,1,2,1
40,5,2,33,19,29,6,162,1230,2849,353,1,0,2,1,0,0,2,0
86,26,6,10,25,51,5,185,2340,2378,301,1,0,2,1,0,0,0,0
48,12,0,18,12,43,7,143,1083,1577,413,2,1,1,1,0,0,1,1
19,17,8,1,5,51,2,137,2426,3620,378,2,1,2,0,0,1,2,0
66,16,3,29,4,51,3,169,2143,2347,392,2,1,2,1,1,1,0,0
80,46,3,30,8,29,2,155,2481,2915,327,0,0,0,1,1,1,2,0
72,26,2,20,34,52,2,89,2264,1512,362,3,0,1,1,0,0,2,0
12,24,6,43,11,45,5,179,1967,1816,360,4,1,0,1,1,1,2,1
84,49,2,31,10,19,6,92,1326,3998,309,4,1,4,1,1,0,2,1
88,33,6,29,10,36,5,193,1897,1854,366,2,1,4,1,1,1,0,0
62,3,5,27,4,15,5,105,1682,1425,326,3,1,1,0,1,0,0,0
57,12,6,37,21,13,6,176,1571,3622,341,1,0,2,1,0,0,0,0
48,32,5,34,27,30,7,149,1049,2500,345,4,1,4,1,1,0,1,1
26,10,5,7,32,15,6,104,1707,2382,329,2,1,0,0,1,1,0,0
47,1,7,38,13,48,2,193,1770,3553,374,1,0,0,1,0,0,0,0
82,22,8,48,10,53,2,184,1254,3971,398,0,0,3,0,0,0,2,0
66,42,3,49,1,26,2,131,2065,1812,415,1,0,2,1,0,0,0,0
5,22,7,2,15,7,4,118,1867,2568,342,2,1,0,0,1,1,2,1
77,28,8,23,14,12,6,137,1258,1596,308,2,0,2,1,1,1,2,1
15,16,6,39,30,54,2,157,2092,2707,382,4,0,1,1,1,1,1,1
-1,36,7,48,5,13,6,164,2074,3039,376,1,0,1,0,1,1,0,0
7,14,3,46,19,38,7,110,2019,2968,368,1,0,2,1,0,0,0,0
36,10,2,23,21,25,2,197,2241,1732,414,2,0,0,1,0,0,2,0
41,8,5,31,11,32,4,89,2496,2568,367,1,0,2,1,0,0,2,0
45,36,6,34,2,20,6,123,2205,2800,418,1,0,1,0,0,0,0,0
75,18,1,31,19,5,7,86,1251,1174,404,4,0,0,1,0,0,0,0
22,39,6,30,27,14,3,181,1563,3980,385,2,1,2,1,0,1,0,0
46,26,6,3,18,44,4,101,2152,1761,410,0,1,2,0,0,1,0,0
37,16,5,40,11,55,3,140,1417,3508,394,3,1,2,0,0,0,0,0
74,13,6,19,7,49,6,188,1247,1669,392,1,0,0,1,0,0,0,0
80,42,8,31,32,6,3,143,1676,3105,398,0,0,4,1,0,1,1,0
87,4,8,8,17,54,4,130,2086,3051,342,1,0,1,1,0,0,2,0
80,44,4,13,34,30,4,197,2173,1862,331,0,0,2,1,0,0,2,0
59,39,0,1,17,53,3,123,1748,3641,364,2,0,3,0,1,0,0,0
0,31,7,36,16,45,4,182,1395,3446,351,4,0,0,1,1,0,0,0
49,28,1,41,3,36,3,194,2230,3180,348,1,0,1,1,1,0,1,0
81,16,1,44,22,43,6,143,2377,3094,385,4,0,0,1,0,1,1,0
22,49,7,0,6,22,3,161,1108,2690,396,1,0,0,0,0,0,2,0
74,15,6,5,24,44,5,160,1910,2196,342,4,0,1,1,1,1,0,0
83,20,3,10,20,25,3,132,1682,2668,391,2,1,1,1,1,1,2,1
10,26,6,1,16,47,6,105,1806,3713,308,1,0,0,1,0,0,2,0
64,15,6,38,31,0,4,194,2281,1256,392,2,1,3,1,0,1,2,0
78,46,1,20,18,16,4,109,1214,3615,409,3,1,0,1,1,1,2,0
54,30,7,22,29,24,3,165,1976,2993,340,2,1,3,1,0,1,0,0
65,27,2,41,25,18,4,163,2330,3475,417,1,0,2,1,0,0,2,0
89,5,7,27,31,45,3,156,2281,1934,335,0,0,1,0,0,0,0,0
69,25,5,25,23,42,4,145,2033,3447,390,1,0,2,1,0,0,0,0
36,35,1,32,3,20,7,158,1316,3267,377,1,1,0,0,0,0,2,0
75,13,0,38,34,31,7,180,1430,3438,400,4,1,3,1,0,1,1,0
48,9,7,24,30,8,3,143,1224,1800,331,1,0,2,0,1,0,0,1
33,15,1,10,10,15,4,85,2308,3925,318,1,0,2,1,0,0,0,0
65,24,6,17,32,53,3,174,1241,2101,310,2,0,2,1,0,1,0,1
32,4,5,4,14,9,4,169,1541,1510,323,1,0,4,0,0,0,0,1
3,44,6,48,23,43,7,162,1647,1617,380,4,0,0,0,1,0,0,0
57,27,7,45,20,41,2,181,2490,3564,346,2,0,2,1,0,1,0,1
66,30,1,9,8,41,2,111,2489,3382,335,0,0,1,0,0,1,2,0
83,9,4,29,18,33,3,98,1265,2700,393,2,0,1,0,0,0,0,0
60,8,4,35,24,41,7,129,1026,1425,350,1,0,1,1,0,0,0,0
68,31,6,34,9,49,5,98,2255,2282,316,4,1,4,1,0,0,1,0
12,8,6,48,28,46,7,146,1575,2091,310,1,0,4,1,0,0,0,0
17,36,4,34,26,45,7,119,1352,1822,350,1,0,0,1,0,0,2,0
39,0,1,48,31,10,3,194,1868,3375,401,0,0,0,0,0,1,2,0
32,30,7,36,21,9,4,149,2463,2258,393,0,0,0,1,0,0,0,0
39,41,1,33,17,43,7,175,1548,2697,418,3,0,4,0,1,0,1,1
74,42,1,32,11,25,5,96,1163,2660,353,2,1,2,0,1,1,1,1
88,3,2,10,23,11,5,136,1396,3895,407,3,0,1,0,0,0,2,0
2,21,6,45,25,7,6,106,1545,1283,393,3,0,0,0,0,0,2,0
88,22,4,13,23,9,4,119,2488,1525,394,4,1,0,1,0,1,2,1
16,15,1,48,16,54,6,111,2271,3707,367,0,1,0,0,1,1,1,1
84,2,5,20,17,21,5,87,2468,3568,385,1,0,2,1,0,0,2,0
34,43,1,10,20,4,6,133,1119,3476,319,4,1,0,1,1,1,0,1
54,4,6,17,22,32,2,148,1718,2628,415,0,0,4,0,1,0,2,1
90,17,3,46,35,54,3,154,1715,3471,306,4,1,1,1,1,0,0,0
69,5,1,47,6,32,7,153,1231,3767,383,3,0,2,0,0,0,0,0
54,14,4,36,9,17,5,145,2263,1319,403,1,0,2,1,0,0,2,0
71,40,1,16,22,10,5,94,1345,3776,356,2,0,0,0,0,0,0,0
60,25,4,2,24,51,3,172,2083,3717,309,3,1,1,0,1,0,1,1
87,24,5,40,4,4,7,196,1913,3189,310,4,0,3,0,0,1,0,1
5,10,0,11,25,33,2,130,2066,3809,400,1,0,1,1,0,0,2,1
81,29,3,32,18,9,2,108,1785,1837,362,1,0,3,0,0,1,1,1
34,29,2,3,26,23,3,122,1919,3568,358,1,1,0,0,0,0,1,1
77,35,3,47,32,52,4,143,1316,2370,370,0,0,2,1,0,0,0,0
26,1,6,15,4,42,5,97,1624,3563,395,4,0,2,0,1,1,1,0
14,10,1,23,2,16,2,133,1973,3169,403,3,0,4,0,1,0,2,0
44,3,2,25,22,47,4,132,1761,1135,368,0,0,1,0,1,0,0,0
20,22,6,25,16,2,3,174,2208,2477,396,3,1,0,1,0,1,2,0
50,35,4,17,28,32,7,168,1808,1259,409,1,1,0,1,0,0,2,0
44,40,6,3,7,52,2,149,1236,1374,403,0,1,2,0,0,0,0,0
75,7,6,33,4,4,3,134,1355,2848,406,1,0,0,1,0,0,2,0
70,36,2,9,28,23,7,120,2374,2004,419,1,0,0,1,1,1,0,0
67,40,6,28,19,49,6,93,2372,1464,404,1,0,4,1,1,1,0,1
83,23,5,31,9,6,4,95,2449,3543,380,3,1,2,0,0,1,2,0
18,28,6,31,11,7,4,186,2224,1208,302,0,1,2,1,0,1,2,1
8,10,1,6,24,2,7,152,1631,2607,301,1,0,0,0,0,0,2,0
86,9,5,23,33,36,7,158,2395,2309,405,1,0,2,0,0,0,2,0
51,46,2,36,23,10,5,109,2057,2210,322,3,1,4,1,1,0,0,0
38,0,4,44,21,34,6,163,2396,3626,342,1,0,4,0,0,1,2,1
53,27,3,45,27,36,4,159,1403,2744,320,2,0,0,0,0,0,0,0
72,3,3,40,33,37,5,187,2355,3727,361,2,0,0,1,1,1,2,0
62,25,5,36,24,19,2,101,2261,3983,405,2,1,3,1,0,0,2,0
51,7,4,36,29,11,6,104,1069,1634,301,1,0,1,1,0,0,0,0
18,19,5,40,4,48,3,145,2460,1852,384,3,0,0,0,0,0,2,0
48,4,2,21,11,14,5,99,1448,2451,307,3,0,4,0,0,1,2,0
14,6,6,2,13,21,6,115,1432,3782,360,4,1,4,0,0,0,0,1
83,32,2,35,32,44,5,169,2013,1665,401,1,0,2,1,0,0,2,0
43,42,3,40,17,35,3,179,1375,3871,334,1,0,0,1,0,0,0,0
23,48,0,9,23,11,7,171,1894,2227,411,4,1,1,1,0,0,0,0
79,37,5,41,15,2,6,144,1989,3901,354,1,0,2,1,0,0,0,0
52,7,8,48,34,12,4,120,2147,1451,390,2,0,1,1,0,1,1,1
59,28,5,3,29,43,6,127,1139,2213,419,1,0,1,1,0,0,0,0
5,32,7,7,1,4,2,124,1612,2862,373,0,0,2,0,0,0,0,0
78,31,4,31,8,51,4,148,1052,3570,362,1,0,2,1,0,0,2,0
13,2,3,21,34,12,5,174,2329,1117,328,1,0,2,1,0,1,0,0
72,45,3,40,24,25,6,197,1025,2764,408,4,1,0,1,1,0,2,1
72,47,2,32,16,37,7,188,2493,3490,306,3,0,1,1,1,0,2,0
23,34,4,29,15,5,7,143,2121,1195,405,0,0,1,1,0,0,0,0
2,20,8,41,8,41,2,185,2358,1530,338,4,0,2,1,1,1,2,1
81,3,4,27,34,10,7,101,2428,1835,337,2,1,3,1,0,1,0,0
17,49,5,2,9,5,5,141,1501,3062,407,1,1,3,0,1,1,0,0
51,14,1,27,27,50,2,99,1574,3316,415,2,1,1,0,1,0,0,0
73,40,7,26,25,23,2,98,1259,2667,365,1,0,0,1,0,0,2,0
30,16,3,3,1,6,6,136,1480,2431,319,3,1,0,1,0,0,2,0
17,47,0,35,33,47,2,191,2215,2838,377,3,1,3,1,0,0,2,1
85,46,5,36,13,31,4,121,1874,2211,322,1,0,0,1,0,0,0,1
72,45,2,9,25,26,7,193,1737,3803,395,3,0,1,1,0,0,0,1
61,21,4,16,0,9,3,138,1054,2061,417,0,0,0,0,0,0,2,0
32,22,7,7,13,37,6,150,1799,2754,358,1,0,0,0,0,0,0,0
88,7,6,41,34,8,2,113,1415,2383,312,1,0,0,1,0,0,0,0
68,15,8,31,24,24,5,90,1154,2410,332,3,0,0,1,1,1,2,0
24,43,2,4,30,51,2,154,2451,2654,381,1,0,2,0,0,0,0,0
89,36,6,17,18,48,6,159,1465,3026,325,1,0,1,1,0,0,0,0
39,18,1,19,34,1,6,187,1787,1483,322,0,0,0,1,0,0,0,0
87,3,3,8,10,18,5,196,1154,2271,352,1,0,2,1,0,0,0,0
29,31,7,45,26,23,2,101,1907,1265,376,2,1,0,1,1,1,2,1
37,37,7,43,32,13,2,168,2492,2658,321,1,0,2,1,0,0,0,0
85,0,3,5,10,50,2,150,2115,3963,327,4,1,1,1,1,1,0,0
71,13,8,24,21,37,5,133,1669,3589,370,3,1,0,1,0,0,0,0
37,21,5,49,5,41,4,115,1420,3456,379,2,0,1,0,1,1,2,0
43,12,1,26,18,48,7,89,1006,1278,414,1,1,2,1,0,0,0,1
55,10,3,36,5,36,6,99,1238,2565,401,1,0,2,1,0,0,2,0
65,38,3,16,0,10,7,184,1885,3229,352,1,0,2,1,0,1,2,0
41,13,0,34,29,44,5,123,2416,3750,403,0,0,4,1,0,1,2,1
32,19,6,33,20,1,3,146,1991,1407,363,1,0,1,1,0,0,0,0
46,8,6,35,1,5,5,106,1876,1587,393,1,0,2,1,0,0,2,0
6,29,3,22,10,33,3,164,1743,2582,310,1,0,0,1,0,0,0,0
74,29,3,40,29,41,7,197,2240,3616,301,3,0,2,1,0,1,2,0
58,41,4,11,32,25,5,181,1786,1131,354,3,0,0,0,0,0,2,1
79,38,5,21,31,33,7,155,1563,1910,395,2,1,2,0,0,1,2,1
24,14,1,25,34,0,4,138,2074,2146,385,1,0,2,0,0,0,0,0
16,40,8,25,1,10,6,125,2368,3863,358,3,0,0,0,0,0,2,0
0,8,6,12,32,30,7,173,1845,1491,388,1,0,2,1,0,0,0,0
5,33,4,7,12,30,6,93,2358,2165,392,1,0,2,1,0,0,2,0
66,34,5,45,24,7,2,164,2340,1403,340,2,0,1,0,0,0,0,0
56,8,2,37,23,5,7,134,1466,3667,324,2,1,1,1,0,0,2,0
37,6,1,34,7,51,2,187,1641,3243,351,3,0,1,1,0,0,0,0
48,9,0,45,18,9,7,119,2250,3743,400,0,1,1,0,0,0,0,1
20,33,4,16,34,10,3,167,1530,3859,393,2,1,4,0,1,0,1,0
81,47,2,4,15,18,2,136,1394,3265,383,3,1,0,1,0,1,2,0
67,5,7,12,7,32,6,177,2129,1380,407,2,0,2,0,0,1,0,0
88,19,2,44,30,4,3,94,2127,3108,311,2,1,1,0,1,1,1,1
65,25,8,20,32,18,2,198,1629,1411,310,0,0,1,1,0,0,0,0
10,45,8,8,27,17,6,174,1349,3002,313,3,0,2,1,0,0,0,0
38,38,4,30,18,51,3,108,2263,1400,389,2,0,4,1,1,0,0,1
20,47,7,33,3,0,6,161,1832,3618,312,1,1,0,0,0,0,0,0
52,28,4,0,27,32,6,164,1523,3214,355,1,0,1,1,0,0,0,0
83,27,6,15,28,22,4,110,1009,3694,396,4,1,2,1,1,0,0,0
32,18,8,41,34,32,3,173,2467,2468,305,4,0,2,1,1,1,2,1
49,29,6,29,7,40,4,119,1864,1824,393,0,0,2,0,0,0,2,0
17,34,6,34,15,27,6,120,1676,2048,363,2,0,0,1,0,0,0,0
44,20,7,41,7,19,6,164,2145,3852,310,1,0,1,0,1,0,0,0
83,11,3,32,29,41,3,119,1335,2298,345,4,0,0,0,1,1,2,1
29,40,4,27,3,43,2,113,1010,1689,396,1,0,4,1,1,1,2,1
61,43,3,25,22,14,6,170,1564,2438,367,1,0,0,0,1,0,0,0
51,27,5,24,5,5,7,105,1095,2456,348,1,0,2,1,0,0,0,0
89,0,7,24,28,29,6,171,1562,1903,364,1,0,2,1,0,0,0,0
8,46,7,23,2,46,5,161,1505,2401,331,0,1,3,0,1,0,2,0
27,37,7,2,24,30,7,93,1664,2355,311,3,0,0,1,0,1,2,0
87,49,2,30,2,45,5,185,1953,2021,371,3,1,2,1,1,0,2,0
81,41,0,28,18,18,7,131,1892,3105,364,3,0,2,0,0,0,0,0
27,3,0,19,1,40,5,156,1476,1725,332,1,0,2,1,0,0,0,0
85,49,4,19,23,27,4,94,1329,1896,410,4,0,3,1,0,0,0,1
76,46,1,26,27,32,3,142,1019,3900,420,3,1,0,1,1,1,2,0
34,43,3,37,25,3,5,116,1036,3843,360,2,1,4,0,0,0,2,1
25,41,3,4,3,10,2,191,2000,2868,352,1,0,2,0,0,0,0,0
44,29,7,11,14,48,4,87,2321,2604,309,3,1,2,0,0,0,0,0
65,0,2,21,23,15,3,186,1472,3321,351,1,1,2,1,0,1,0,0
88,17,0,5,4,17,3,115,1051,1705,388,2,0,2,1,0,0,2,0
30,19,4,43,20,53,2,189,1706,2960,389,1,0,0,0,0,0,0,0
25,0,4,19,13,19,4,199,2257,3299,300,0,0,0,0,0,0,0,0
62,44,6,36,27,28,6,132,2413,3747,346,1,0,2,0,0,0,0,0
5,43,6,32,1,40,2,138,2046,3928,396,2,0,1,0,1,0,2,1
32,30,6,22,30,15,4,134,1997,3117,308,2,0,3,1,0,1,2,0
41,32,8,37,17,10,5,150,1051,1224,403,0,1,0,1,0,0,0,1
36,0,1,39,8,9,7,192,1272,1959,311,1,0,2,1,0,0,0,0
68,38,1,16,31,3,6,192,1696,2050,413,4,1,0,0,0,1,1,1
1,11,2,35,10,19,4,175,1835,1792,355,2,1,3,0,0,0,2,1
0,49,5,22,9,52,6,167,1192,3472,307,1,0,0,0,0,1,0,0
87,27,5,36,7,35,7,167,1728,2809,304,3,0,0,0,0,1,2,0
9,19,5,21,6,52,7,102,1062,3616,384,2,1,0,0,0,0,2,0
7,33,2,1,29,15,6,186,1309,3653,408,1,0,0,0,0,0,0,0
20,34,3,22,25,10,7,158,1352,1239,351,4,0,1,0,1,1,2,1
12,34,3,4,16,35,5,187,2046,3043,304,4,1,1,1,0,0,0,1
8,28,8,7,19,36,7,181,2112,3093,304,4,0,1,0,0,1,1,1
74,6,6,49,12,5,3,105,2305,1115,315,1,0,2,1,0,0,2,0
81,7,5,26,25,1,7,125,2416,1416,310,4,0,2,1,0,0,2,1
16,37,0,18,33,37,5,92,1142,3351,365,3,0,0,1,0,0,0,0
48,27,7,49,9,24,5,173,1339,2901,305,4,0,4,1,1,0,0,1
62,35,6,23,29,11,4,91,1791,2296,412,3,1,0,1,1,1,0,1
45,10,7,26,8,45,5,126,1756,3613,360,1,0,2,1,0,0,2,0
72,40,1,48,31,2,2,131,1068,1409,306,1,0,1,1,0,0,0,0
75,44,4,42,8,45,3,117,2496,2351,350,1,0,3,0,0,1,2,0
54,10,8,20,29,54,5,119,1395,2429,386,2,0,2,1,1,0,0,1
28,48,2,23,34,1,6,167,2154,3336,371,3,1,0,0,0,0,0,1
75,11,2,14,7,9,2,113,1832,3218,381,4,1,2,1,0,1,1,0
65,28,2,32,25,41,4,118,1755,3203,315,0,0,3,1,1,0,2,1
72,38,3,31,26,44,5,133,1878,2327,417,2,1,1,1,1,1,1,0
24,45,1,16,35,3,3,98,1159,2074,316,1,0,1,1,0,0,2,0
4,16,4,25,1,24,3,96,1535,1252,405,4,0,4,1,1,1,0,0
66,34,6,47,27,38,5,151,1936,3862,374,3,0,0,0,1,0,2,0
29,24,5,9,12,31,3,180,1315,1687,408,1,0,0,0,0,0,2,0
21,36,5,41,13,53,5,157,1676,1200,399,1,0,2,0,0,0,0,0
36,43,4,40,6,24,3,150,2487,1811,390,1,0,2,1,0,0,0,0
82,42,6,49,11,14,2,155,2243,1887,394,4,0,2,0,0,0,0,0
13,45,8,17,11,20,6,97,1219,1577,305,2,0,3,1,1,1,1,0
39,20,1,38,33,4,4,140,1274,3490,335,1,0,2,0,1,0,2,0
66,32,2,30,32,27,7,143,2213,2946,322,1,0,0,1,1,1,2,1
27,22,4,20,14,10,6,144,2375,2032,354,3,0,0,0,1,1,2,0
86,21,0,39,9,45,2,196,2420,1777,304,2,0,4,0,1,1,0,0
63,44,4,29,32,37,6,138,1199,3542,341,4,0,4,1,1,0,1,1
40,14,1,38,35,19,5,177,1213,3328,413,3,0,4,0,0,1,2,1
24,37,3,49,9,6,5,179,1236,2466,321,3,0,2,1,1,0,2,0
53,33,6,42,4,51,3,121,1866,2261,402,3,0,2,0,0,0,2,1
16,10,4,38,22,9,7,97,1205,3949,300,1,0,1,1,0,0,2,0
48,17,3,3,6,13,3,188,1247,1534,353,1,1,2,0,1,1,1,0
8,47,6,4,12,32,6,155,2105,1162,303,3,1,2,0,0,1,2,1
49,49,4,45,10,40,4,101,1051,2560,418,2,1,2,1,0,1,0,0
60,48,7,18,35,52,6,177,1083,2672,412,0,0,2,1,1,0,1,1
49,35,6,39,24,15,2,153,2465,2398,324,0,0,4,1,0,0,2,1
49,19,5,18,5,19,4,109,1840,1429,343,1,0,2,1,1,1,0,0
47,20,6,31,25,43,6,116,1085,1720,397,3,0,1,1,0,1,0,1
62,19,2,16,23,6,7,159,1926,2432,396,1,0,1,1,0,0,2,0
17,16,7,40,5,35,2,196,1888,1693,386,2,0,3,1,1,1,2,1
49,4,6,32,23,30,7,133,2321,2511,352,4,0,0,1,1,1,1,0
86,22,5,19,35,14,2,108,1549,2135,371,1,0,0,1,0,0,0,0
11,44,2,1,10,36,7,155,1055,3708,398,1,0,0,1,0,0,0,0
43,5,3,46,15,21,8,174,1666,1116,375,1,0,1,1,0,0,0,0
47,49,1,13,18,34,4,130,1156,2438,323,1,0,2,1,0,0,0,0
34,48,4,50,11,14,7,188,1603,3329,313,1,0,0,1,0,0,0,0
45,5,4,19,30,28,7,180,2322,3507,356,0,0,0,0,0,0,2,1
19,8,5,2,3,0,3,120,1693,1718,318,0,1,3,0,1,0,0,0
35,10,1,44,6,23,3,151,1700,3408,302,0,0,2,1,0,0,0,0
5,0,2,10,20,48,2,139,1426,1225,404,3,0,0,0,1,1,2,0
12,39,8,42,7,40,5,105,1165,1828,359,1,0,2,1,0,0,0,0
56,40,7,32,3,47,4,97,2312,3770,356,4,1,1,0,0,0,1,1
36,13,7,35,33,26,3,162,1638,2783,319,1,0,0,1,0,0,2,0
30,9,3,39,23,17,6,149,1948,2138,346,1,0,0,1,0,0,2,0
55,12,3,20,28,41,4,182,1314,1192,413,1,0,2,0,0,0,0,0
23,1,1,12,9,0,2,197,1311,1623,353,1,1,2,0,0,0,2,1
28,38,7,39,2,42,7,193,1099,3527,364,4,1,2,1,0,1,2,0
17,9,6,3,18,51,4,150,1585,1227,325,4,0,1,1,1,0,2,1
5,42,2,16,9,36,4,193,2481,2431,306,3,0,1,1,0,1,1,0
35,11,4,27,8,19,2,187,1861,2596,373,1,0,0,1,0,0,0,0
44,25,4,42,9,25,3,196,1581,2404,309,1,1,0,1,0,1,1,1
18,25,2,38,15,11,4,117,1373,1858,316,3,1,0,0,0,0,0,0
24,15,5,12,23,4,6,109,2139,3062,334,1,0,2,1,0,0,0,0
5,27,5,21,9,34,4,145,1997,2108,414,0,0,0,0,0,0,0,0
9,3,3,8,24,12,7,200,2406,3721,348,3,0,2,1,0,0,2,0
19,19,6,41,8,48,4,107,2044,2072,323,4,0,0,0,1,0,2,1
46,23,2,41,25,34,4,195,2067,2374,412,3,0,0,0,0,0,0,0
11,39,4,23,14,51,7,158,2092,2902,365,4,1,4,1,1,1,2,1
78,45,7,27,2,3,4,94,1971,1362,385,1,0,1,1,0,0,0,0
68,0,6,45,13,29,6,147,1915,2216,332,4,0,3,0,0,0,0,0
32,21,3,25,30,5,7,166,1417,3223,365,0,0,0,1,0,0,0,0
85,18,6,37,1,51,7,105,1624,1626,320,1,0,1,0,0,0,0,0
5,23,4,50,24,11,4,144,1066,1435,342,1,1,2,1,0,0,0,0
19,44,2,31,0,17,5,97,1512,1497,371,1,0,1,1,0,1,0,0
29,37,1,5,8,41,7,184,2232,2843,400,0,1,2,0,0,1,0,0
74,31,4,31,31,1,6,117,2184,3288,379,1,0,2,1,0,0,2,0
31,35,5,47,16,18,4,175,2272,3403,409,1,0,1,1,0,0,0,0
-1,4,4,32,17,11,5,126,2176,3152,327,1,1,4,1,1,1,1,1
49,25,6,24,0,41,5,176,2286,3167,303,2,0,2,0,1,1,1,1
71,18,5,26,3,30,4,125,2084,2191,306,1,0,0,1,0,0,2,0
29,27,7,41,26,34,7,144,1218,2383,311,1,0,0,1,0,0,0,0
71,3,3,22,27,8,4,110,1437,3112,330,4,1,4,1,0,1,0,1
85,46,3,14,18,36,6,98,2106,1895,328,1,1,3,1,1,1,2,1
76,23,7,41,4,9,4,153,1006,2854,305,0,1,1,0,0,1,0,0
37,17,6,32,11,47,6,168,1671,2922,323,1,0,0,1,0,0,2,0
13,15,1,49,20,7,7,119,1457,1214,396,3,0,2,0,0,0,0,0
